fitScore,name,over500,headcount,headcountRange,headcountConfidence,founded,stage,fundingRaised,investors,hq,remotePolicy,vertical,notability,oneLiner,whatTheyDo,roleFit,profileLeverage,codingLightness,tractionHealth,fitRationale,redFlags,sources
34.0,Redox,False,190,"~187-194 (LinkedIn/Tracxn/RocketReach, 2026)",high,2014,Series D,"~$95M-$146M total depending on source (Series D was $45M in 2021, led by Adams Street Partners)","Adams Street Partners, Battery Ventures, .406 Ventures, RRE Ventures, Avenir Growth Capital, Intermountain Ventures","Madison, Wisconsin",Remote-friendly; this role listed Remote,Healthcare data interoperability / integration platform (health tech infrastructure),well-known,Full-service healthcare data integration platform connecting software vendors to EHRs and health systems.,"Redox provides an interoperability platform and API network that lets digital health and healthcare software companies exchange data securely across EHRs, hospitals, and health systems (12,000+ connected organizations). Buyers are health-tech vendors, payers, and provider IT teams who need standardized integration instead of building bespoke HL7/FHIR connections.",4,4,4,4,"Senior Product Manager II for AI Platform & Agentic Experience is a strong non-SWE PM fit that rewards B2B customer discovery, domain writing, and defining 'good' for AI agent workflows in a regulated healthcare domain — squarely in the candidate's wheelhouse. Mature Series D company (~190 people) means stable but slower-growth environment.","Headcount has drifted down from earlier peaks (~200+), suggesting a lean/mature phase rather than hypergrowth; healthcare-domain fluency expected. Not a red flag on size — comfortably under 500.",https://www.crunchbase.com/organization/100health ; https://tracxn.com/d/companies/redox/__7TRVI_VjAAMBZEDBlVi5ydiX4UPpNxop0Wd8qNaCX6A ; https://www.linkedin.com/company/redoxengine ; https://redoxengine.com/company/ ; https://www.businesswire.com/news/home/20210224005357/en/Redox-Raises-$45M-in-Series-D-to-Drive-the-Adoption-of-Technology-in-Healthcare ; https://redoxengine.com/blog/series-c-battery-ventures/
33.5,Peregrine Technologies,False,440,~420-450 (Tracxn 443 as of Mar 2026; LeadIQ ~419); PitchBook/RocketReach lag lower at 248-311,medium,2017,Series F,~$655M total; latest $275M Series F (Mar 2025) led by a16z at a $7.5B valuation (prior $190M Series C led by Sequoia at $2.5B),"Andreessen Horowitz (a16z), Sequoia Capital, Bedrock, Greenoaks, Matrix Partners","San Francisco, CA",Deployment Strategists deploy on-site with customer agencies across multiple US locations; company is field/customer-deployment oriented rather than fully remote,Public safety / law enforcement / government data platform (GovTech),well-known,"A data-integration platform that unifies fragmented public-safety data into one real-time system for search, analysis, and decision-making.","Peregrine ingests siloed government data (dispatch/CAD, records, body-camera footage, etc.) into a single real-time platform for search, analysis, and operational decision-making, deploying in days-to-weeks. Buyers are law-enforcement agencies, emergency management, and government bodies now covering 80M+ Americans.",4,4,3,5,"The Deployment Strategist role is a forward-deployed, customer-facing delivery job (Palantir-style) that rewards customer discovery, workflow/domain synthesis, and program-delivery skills, matching much of the candidate's ops + qualitative-research profile. It is technical-adjacent (data modeling, configuration, some SQL-ish work) rather than pure PM/research, so it leverages fewer of the writing/rubric strengths and leans more hands-on with data.","Deployment Strategist work at a data platform typically involves real data configuration/modeling and can be more technical than a pure PM/research role. Fast headcount growth at a $7.5B valuation means it could cross 500 employees soon (currently ~440). Domain is law enforcement/surveillance, which some candidates screen out on principle; role is on-site/customer-deployment heavy, not fully remote.",https://peregrine.io/ ; https://research.contrary.com/company/peregrine ; https://peregrine.io/resources/peregrine-technologies-raises-190m-series-c-led-by-sequoia-capital-at-2-5-billion-valuation ; https://news.crunchbase.com/venture/law-enforcement-startup-peregrine-unicorn-sequoia/ ; https://tracxn.com/d/companies/peregrineio/ ; https://job-boards.greenhouse.io/peregrinetechnologies
32.25,Paradigm,False,12,~8-13 (CB Insights ~8; Tracxn/other ~13). Very small team.,medium,2024,Seed,"~$7-7.5M total ($5M seed led by General Catalyst; $2M pre-seed from Y Combinator, Soma Capital, Pioneer Fund)","General Catalyst (lead), Y Combinator, Soma Capital, Pioneer Fund; angels incl. Arash Ferdowsi (Dropbox), Harrison Chase (LangChain), founders from Zapier/Intercom","San Francisco, CA","Small in-person SF team; role listed as 'Multiple' locations. Likely SF-based/in-office given the tiny team, though remote may be negotiable. Confirm.",Horizontal productivity / agentic research (AI-native spreadsheet with an agent in every cell),somewhat-known,"An AI-native spreadsheet where swarms of agents find, verify, and fill data — reportedly up to 5,000 cells/minute.","Paradigm (paradigmai.com) reinvents the spreadsheet as an agentic-research workspace, with AI agents in each cell that autonomously find, verify, and populate data for research and enrichment workflows. Early users span consulting, ops, and recruiting teams (EY, Etched, Cognition, plus users at Bain/McKinsey/Ramp); founded by Anna Monaco (YC W24).",4,3,5,3,"A Business Operations Generalist at a ~10-person startup is a broad, no-code seat covering delivery, program coordination, customer onboarding, and internal ops — a clean match for the candidate's ops/program-management and customer-discovery strengths. Eval/rubric design and deep research skills are less central to this particular role, and seed-stage/13-person size makes traction the main risk.","Very early (seed, ~$7M, ~10 people) so higher startup risk and a generalist role likely means wearing many hats with limited structure. 'Deeply technical team' culture may under-value a non-engineering hire; role location ('Multiple') is ambiguous — confirm SF-onsite vs remote. Disambiguated from the crypto VC 'Paradigm' and other same-named firms — this is the YC AI-spreadsheet company.",https://techcrunch.com/2025/08/18/why-paradigm-built-a-spreadsheet-with-an-ai-agent-in-every-cell/ ; https://www.ycombinator.com/companies/paradigm ; https://techstartups.com/2025/08/19/paradigm-founded-by-23-year-old-ai-prodigy-anna-monaco-raises-5m-from-general-catalyst-for-viral-ai-spreadsheet/ ; https://www.cbinsights.com/company/paradigm-11 ; https://www.paradigmai.com/ ; https://www.crunchbase.com/organization/paradigm-6409
31.25,Runlayer,False,20,"~15-30 (very early; launched from stealth Nov 2025, estimate — no public headcount)",low,2025,Series A (post-seed; launched from stealth Nov 2025),"$42M total ($11M seed + $30M Series A led by Felicis, with Khosla Ventures / Keith Rabois)","Felicis, Khosla Ventures (Keith Rabois), plus 8 unicorn/public-company founder-angels",Likely SF Bay Area (roles listed Remote),Remote (Founding PM roles listed fully remote),AI agent / MCP (Model Context Protocol) security and infrastructure,somewhat-known,Security and control plane for connecting AI agents to MCP servers safely.,"Runlayer builds a security, governance, and control-plane layer for the Model Context Protocol so enterprises can connect AI agents to tools/data without the prompt-injection and data-exfiltration risks that plague raw MCP. Buyers are engineering and security teams at AI-forward companies (early customers include Gusto, dbt Labs, Instacart, Opendoor). Founded by third-time founder Andrew Berman (ex-Nanit, Vowel/Zapier, built an early MCP server).",4,3,3,5,"Founding Product Manager (remote) is a genuine PM role heavy on customer discovery and defining product direction — good fit for the candidate's discovery and ops strengths. But the domain is deeply technical (MCP internals, agent security), so profile leverage on qualitative/human-intelligence research is weaker and a founding PM here will likely need meaningful technical fluency and hands-on prototyping.","Very early-stage (<~30 people, seed/Series A) means role ambiguity and startup risk; technical/security domain likely expects more hands-on technical depth than a purely non-technical PM. Headcount is an estimate — no public figure — hence low confidence, but clearly far under 500.",https://techcrunch.com/2025/11/17/mcp-ai-agent-security-startup-runlayer-launches-with-8-unicorns-11m-from-khoslas-keith-rabois-and-felicis/ ; https://www.runlayer.com/about ; https://jobs.ashbyhq.com/runlayer/771c67d0-07d1-4729-b15c-a72983b9d22a ; https://ventureburn.com/runlayer-seed-11m/
30.5,Factory.ai,False,120,~80-150 (PitchBook lists ~120; company said it was scaling from ~80 at Series C toward ~250 by 2027),medium,2023,Series C,$219M total; $150M Series C at $1.5B post-money valuation (April 2026),"Khosla Ventures (Series C lead), Sequoia Capital, NEA, Insight Partners, Blackstone, Evantic Capital, 20VC, Mantis VC","San Francisco, CA",Onsite/in-person SF (Deployment Strategist role listed SF/onsite; known for intense in-office culture),AI coding agents / enterprise software development tooling,well-known,"Agent-native software development platform whose 'Droids' autonomously code, test, review, document, and deploy for enterprise engineering teams.","Factory builds 'Droids,' autonomous AI software agents that integrate into existing engineering workflows to replace line-by-line coding with parallel self-directed agents. Its buyers are enterprise engineering organizations adopting agentic development at scale.",4,3,3,5,"Deployment Strategist is a forward-deployed, customer-facing solutions role (adoption, discovery, delivery) that maps well to the candidate's PM/deployment/ops strengths, but because the product IS a coding agent, the role expects real fluency with engineering workflows and code, raising the technical bar above the candidate's technical-adjacent comfort zone.","Coding-tools domain expects hands-on technical/engineering fluency (reading code, dev workflows); SF onsite with an intense in-person culture; hyper-growth, high-pressure environment.",https://techcrunch.com/2026/04/16/factory-hits-1-5b-valuation-to-build-ai-coding-for-enterprises/ ; https://pitchbook.com/profiles/company/538078-33 ; https://www.crunchbase.com/organization/factory-19d8 ; https://factory.ai/company ; https://www.fastcompany.com/91279593/factory-ai-code-generation-matan-grinberg-eno-reyes ; https://tracxn.com/d/companies/factory/__Zoexp6yyDuYdVXMfnw5cy5aD0DqRdq5HbNdl1dtvIVE
28.25,Augment (goAugment / Augie),False,130,~90-150 (Tracxn lists ~90 employees; company claims '110+ engineers in North America'),medium,2023,Series A,"$110M total ($85M Series A in 2025, led by Redpoint)","Redpoint Ventures (lead), 8VC, Shopify Ventures, Autotech Ventures, Applico Capital","San Francisco, CA","In-office culture across SF, Chicago, Toronto (NYC coming); a few roles (e.g. Voice PM, $174-220k) posted Remote — mostly onsite-leaning","Supply chain / logistics AI (freight brokerage, trucking, wholesale distribution)",somewhat-known,"Augie, an 'AI teammate' that automates repetitive booking and execution workflows across phone, email, and portals for supply-chain operators.","Augment builds industry-native AI agents (Augie) that handle the toil of booking and executing truck shipments 24/7 across voice, email and enterprise systems. Buyers are freight brokerages, logistics providers, and (via a 2026 acquisition) wholesale distributors.",3,3,3,5,"The PM roles are 0-1 product work with heavy customer/operator discovery in a specific domain (logistics), which rewards qualitative research and domain writing; but postings ask for 6+ yrs PM plus a CS/Engineering/quantitative degree and sit inside an eng-heavy, in-office org, so the non-coding profile is a partial rather than clean fit. Well-funded and growing (recent acquisition), so traction is strong.","Disambiguation: this is goAugment (supply-chain), NOT Augment Code the $250M+ coding-assistant, nor the smaller Augment AI; PM JDs list a technical degree as required and culture is largely SF in-office, which cuts against a non-CS, remote-preferring candidate.",https://www.goaugment.com/about ; https://www.goaugment.com/careers ; https://jobs.ashbyhq.com/go-augment/af1f6c48-0e5f-4198-9c5f-fad4786a7246 ; https://www.businesswire.com/news/home/20250904472410/en/Augment-Raises-$85M-Series-A-to-Supercharge-Augie-The-AI-Teammate-for-Logistics ; https://tracxn.com/d/companies/augment/__FP0KTA8nDIMmxYeNLZAZ_NleiDjKUd_K1FdD7jW6VJ4 ; https://www.businesswire.com/news/home/20260429564819/en/Augment-Acquires-Stealth-Startup-Bringing-AI-to-the-$8-Trillion-Wholesale-Distribution-Industry
25.0,Crew AI (CrewAI),False,74,~30-74 (Tracxn ~74 as of May 2026; PitchBook ~30) — best estimate 60-75,medium,2023,Series A,"~$18M ($18M Series A led by Insight Partners, Oct 2024); some aggregators list up to ~$44.5M","Insight Partners (lead), boldstart ventures, Craft Ventures","San Francisco, CA (founder Brazilian; remote-first, originally São Paulo roots)",Remote-first; both target roles are listed Remote,AI agent orchestration / developer platform (dev tools + enterprise agent automation),well-known,Popular open-source framework and enterprise platform for building and orchestrating multi-agent AI systems.,"CrewAI makes a widely-adopted open-source Python framework plus an enterprise platform for building, deploying and managing crews of collaborative AI agents. Buyers are developers and enterprises automating workflows; Forward Deployed / Deployment Engineers help enterprise customers stand up agent solutions.",3,3,2,4,"CrewAI is a Python agent framework, so its Forward Deployed / AI Deployment Engineer roles are genuinely engineering-titled and expect the person to build and debug agents in Python for customers — heavier coding than this candidate wants, though the customer-facing deployment and discovery elements do leverage their strengths. Strong traction (Series A, Insight Partners, huge open-source adoption) is a plus, but the coding bar makes fit only moderate.","Both open roles are 'Engineer' titles at a code-framework company — likely require daily Python/production coding, a mismatch for a non-SWE candidate. Headcount estimates vary widely across sources (30 vs 74). Name collides with other 'Crew' companies.",https://www.crunchbase.com/organization/crewai ; https://tracxn.com/d/companies/crewai/__5sItJve5QhflF2dH7U1TN7h20PJauFNCVGN8ZUg5wrM ; https://pitchbook.com/profiles/company/590845-78 ; https://crewai.com/
24.25,Lyzr,False,170,~161-174 (PitchBook 161; other trackers ~174 as of mid-2026),high,2023,Series A,$40.1M total across ~7 rounds; latest Series A Mar 2026 (~$14.5M) at reported $250M valuation,"Accenture (strategic), Rocketship.vc, plus earlier seed/pre-seed backers","Jersey City, New Jersey (US HQ / NYC metro), with engineering core in Bengaluru, India","Distributed US + India; the specific open role (Associate PM, Applied AI) is Bengaluru onsite","Horizontal enterprise AI-agent infrastructure (control plane, governance, reliability layer for production agents)",somewhat-known,Framework-agnostic control plane to take enterprise AI agents to production.,"Lyzr sells infrastructure (simulation engine, governance, reliability, on-prem deployment) that makes AI-agent stacks like LangChain/CrewAI/AutoGen production-ready for enterprises. Buyers are enterprise engineering and AI teams, with a strategic Accenture channel.",2,3,3,4,"The listed role is an Associate PM (Applied AI) based in Bengaluru onsite, which fails the candidate's SF Bay/fully-remote geography constraint; the PM function itself partially fits but an agent-infra APM leans technical and is early-career-titled.",Only open role found is Bengaluru onsite - hard geo mismatch for a candidate wanting SF Bay onsite or fully remote. 'Applied AI' APM may expect more hands-on technical depth than the candidate's profile. Fast-growing but young (2023).,https://tracxn.com/d/companies/lyzr/ ; https://pitchbook.com/profiles/company/550185-85 ; https://techfundingnews.com/lyzr-ai-14-5m-accenture-250m-valuation/ ; https://www.lyzr.ai/about-us/ ; https://careers.lyzr.ai/ ; https://www.crunchbase.com/organization/lyzr-ai
22.75,Ascertain,False,28,~28 (cited in coverage / directory profiles),medium,2022,Series A,~$17.4M total; $10M Series A (May 2025) led by Deerfield Management with strategic participation from Northwell Health,"Deerfield Management, Northwell Health (Northwell Holdings), Aegis Ventures","New York, NY",Remote-friendly; hybrid supported for NYC-based staff; the FDE role is posted as Remote,Healthcare (agentic AI for administrative/back-office automation),somewhat-known,"Builds AI agents that automate administrative work (billing, referrals, prior auth) for hospitals and large specialty groups.","Ascertain deploys agentic AI to automate routine healthcare administrative tasks so clinical teams can focus on patient care, saving customer practices hundreds of staff hours per week. It was launched out of Northwell Health's for-profit arm and Aegis Ventures, and sells to major health systems and large specialty groups.",2,3,2,4,"The Forward Deployed Engineer role has a strong customer-discovery / workflow-mapping component the candidate would excel at, but it is explicitly an engineering seat: the FDE 'writes production code,' builds EHR/payer-portal integrations, and is the technical owner of deployments — daily production coding the candidate does not do. Good geo fit (remote) and healthy funding, but the role itself is a poor match.","Role requires shipping production code daily (integrations, platform extension) — disqualifying for a non-SWE candidate despite the appealing customer-facing half. This is an FDE, not a deployment strategist / PM role.",https://jobs.ashbyhq.com/ascertain/d7dbc66f-2c0b-4ee0-9b92-305a243994bb ; https://www.prnewswire.com/news-releases/ascertain-raises-10-million-in-series-a-funding-to-scale-agentic-ai-platform-302433733.html ; https://www.healthcareittoday.com/2025/05/19/ascertain-raises-10-million-in-series-a-funding-to-scale-agentic-ai-platform/ ; https://www.crunchbase.com/organization/ascertain ; https://www.ascertain.com/ ; https://www.linkedin.com/company/ascertain-ai
,Abridge,True,605,"~450-605 (PitchBook 450; Tracxn 605 as of May 2026; ZoomInfo 500-1,000)",medium,2018,Series E (+ Series E extension),"~$778M total across 8 rounds; $300M Series E led by a16z at $5.3B valuation (June 2025), plus ~$316M Series E extension (April 2026)","Andreessen Horowitz (a16z), Khosla Ventures, Lightspeed, IVP, Redpoint, Bessemer, CVS Health Ventures, and others","San Francisco, CA (also Pittsburgh roots)",Role listed as SF/hybrid; company is distributed with multiple US locations,Healthcare AI / clinical documentation (ambient clinical intelligence),well-known,AI that turns doctor-patient conversations into structured clinical notes.,Abridge builds an ambient AI platform that listens to clinical encounters and generates structured medical documentation integrated into EHRs like Epic. Customers are large health systems and hospitals buying to reduce clinician documentation burden.,5,4,4,5,"Founding Forward Deployed Product Manager is a strong match for a PM with heavy B2B customer discovery, deployment/ops, and domain writing skills, and the forward-deployed nature rewards synthesizing messy qualitative signal from health-system customers without shipping production code.","Likely exceeds the candidate's 500-employee ceiling: Tracxn reports 605 as of May 2026 and ZoomInfo 500-1,000, though PitchBook lags at 450 — headcount is very likely over 500 given hypergrowth on $778M raised. This is the main disqualifier per the candidate's filter.",https://tracxn.com/d/companies/abridge-inc/ ; https://pitchbook.com/profiles/company/268134-40 ; https://www.fiercehealthcare.com/ai-and-machine-learning/ambient-ai-startup-abridge-scores-300m-series-e-backed-a16z-and-khosla ; https://www.abridge.com/blog/series-e ; https://sacra.com/c/abridge/ ; https://www.zoominfo.com/c/abridge/475873886
,Caylent,True,897,~810-900 (Tracxn 897 as of May 2026; LeadIQ ~810 Mar 2026; Datanyze ~850),high,2015,Private / PE-backed (East Los Capital growth investment),$16M+ growth investment from East Los Capital (private equity); not VC-stage,East Los Capital,"Irvine, CA (remote-first / distributed across the Americas)",Remote-first — Agentic Architect posted as fully Remote,"AWS cloud consulting / professional services (cloud-native, data/ML, GenAI on AWS)",well-known,"AWS Premier Tier services partner delivering cloud, data, and AI implementation consulting.","Caylent is a next-gen AWS cloud services/consulting firm that builds cloud-native apps, data platforms, and (increasingly) agentic/GenAI solutions for enterprise clients on AWS. Buyers are engineering and IT leaders at companies migrating to or modernizing on AWS.",2,2,2,4,"FILTER-OUT candidate: multiple sources put headcount at ~810-900, well over the 500-employee ceiling. Separately the 'Agentic Architect' role is a hands-on technical AWS/solutions-architecture role (building agentic systems, IaC, integrations) — coding-heavy and a poor match for a non-SWE PM/research/ops profile.","Over 500 employees (~897) — exceeds the candidate's hard headcount filter. Role is a coding-heavy technical architect, not a PM/deployment/research seat. Consulting-delivery utilization culture.",https://caylent.com/about ; https://tracxn.com/d/companies/caylent/__JX7-VvQ1ofFttNpsQOoA2x1lqkj_wUlWCifuQD6_xuc ; https://leadiq.com/c/caylent/5a1dac552300005300a18fe3/employee-directory ; https://www.channele2e.com/news/caylent-announces-investment-aws-expansion ; https://www.crunchbase.com/organization/caylent
,EliseAI,True,599,"~599 (Tracxn, May 2026); grew from ~150 to 300+ in 2024 and is actively doubling again, so likely at or above 600 now",high,2017 (originally MeetElise),Series E,$392M total; $250M Series E in Aug 2025 at a $2.2B valuation,"Andreessen Horowitz (a16z, led Series E), Sapphire Ventures, Point72 Ventures, Navitas Capital, DivcoWest, others","New York City (Midtown Manhattan, near Empire State Building)","Fully in-office, 4-5 days/week onsite in NYC (this role is NYC-based; also lists a Toronto posting)","Vertical AI agents for housing/property management and healthcare (leasing, resident/patient communication, workflow automation)",well-known,AI agent platform automating conversations and workflows for the housing and healthcare industries.,"EliseAI builds AI agents that handle leasing, resident, and patient communications and back-office workflows, embedded into existing property-management and healthcare systems. Buyers are large property owners/managers and healthcare providers looking to cut costs and automate routine interactions.",5,4,5,5,"The Deployment Strategist | Housing role is squarely program/operations management: program-managing product launches, building enablement materials and training, hosting product knowledge sessions, and escalation support — an excellent match for the candidate's delivery/ops, rubric/quality, domain-writing, and customer-facing strengths, with essentially no production coding.","Headcount (~599 and climbing) is at/over the 500 cutoff — likely filtered out on size. Also a geo mismatch: role is NYC fully-onsite (4-5 days), while candidate wants SF Bay onsite or fully remote.",https://pitchbook.com/profiles/company/279448-03 ; https://tracxn.com/d/companies/eliseai/__frC_1IDVJYdO6D1sDs1wID8oSQfzoVZH1wRXFipczc8 ; https://techstartups.com/2025/08/21/eliseai-raises-250m-in-series-e-funding-led-by-andreessen-horowitz-doubling-valuation-to-2-2b/ ; https://www.builtinnyc.com/job/deployment-strategist-housing/7416336 ; https://jobs.ashbyhq.com/eliseai/c7e38843-3eb7-404a-bb42-283acfb63040 ; https://eliseai.com/blog/eliseai-raises-250m-series-e
,EvenUp,True,835,~820-850 (Tracxn 850 as of May 2026; ~822 total). Grew from ~600 in 2025,high,2019,Series E,$385M total across 7 rounds (Series D $135M Oct 2024 led by Bain Capital Ventures; Series E $150M Oct 2025 led by Bessemer). ~$3B valuation.,"Bessemer Venture Partners, Bain Capital Ventures, Lightspeed, SignalFire, B Capital, Premji Invest, Adams Street, HarborVest, REV (RELX), Broadlight","San Francisco, CA (353 Sacramento St, opened July 2025)","Hybrid — formerly fully remote; now ~3 days/week in hub offices for many teams, though the listed AI PM / orchestration / TPM roles are tagged Remote",Legal tech / personal injury law AI,well-known,"AI platform that automates personal injury legal work (demand letters, case docs) to close the justice gap.",EvenUp uses ML and its Piai AI models to generate demand packages and automate pre-litigation workflows for personal injury law firms. Buyers are PI plaintiff law firms; it recently launched 'Pre-Litigation as a Service' expanding beyond document generation.,4,4,4,5,"The AI Product Manager and AI Orchestration PM roles fit a non-SWE PM well, and legal-AI heavily rewards domain writing, rubric/eval design for model output quality, and customer discovery with law firms. Strong on paper, but headcount is ~820-850.",OVER 500 EMPLOYEES (~820-850) — fails the candidate's hard headcount filter. Otherwise an excellent role/profile match.,https://tracxn.com/d/companies/evenup/__jWAN42CkOwP4Ke_seuKhPhF4XouwhlzyOgOyrH1np0E ; https://news.crunchbase.com/venture/legal-tech-ai-unicorn-evenup-ai-doubles-valuation/ ; https://www.evenuplaw.com/blog/evenup-opens-san-francisco-headquarters/ ; https://pitchbook.com/profiles/company/439521-94
,cBEYONData / SMX (Enterprise Systems & Solutions),True,2000,"~2,000 (SMX ~1,850-2,066 across sources for 2025; cBEYONData standalone was only ~150-250 before its Feb 2025 acquisition, but the ESS unit and roles sit inside SMX-scale org)",high,cBEYONData founded 2013 (acquired by SMX Feb 2025); SMX founded 1995,"Private (SMX is a private-equity-backed govcon, OceanSound Partners portfolio; cBEYONData now a subsidiary/business unit)",N/A (PE-owned; SMX backed by OceanSound Partners; cBEYONData acquired for undisclosed terms),OceanSound Partners (SMX owner),"SMX HQ Reston, VA / Hollywood, MD; cBEYONData HQ Fairfax, VA","Government-contracting; roles listed 'Multiple' locations, largely on-site/hybrid at federal customer sites (DoD, DoJ, DHS) with clearance likely required",Federal / defense govtech — ERP-integrated budget management and financial analytics for DoD and civilian agencies,obscure,Federal financial-management and digital-transformation contractor (CFO Control Tower) now delivering AI solutions inside SMX's ESS unit.,"cBEYONData provides implementation, managed services, and a proprietary budget/financial analytics suite (CFO Control Tower) integrated with government ERP systems (Oracle, SAP, Momentum). As an SMX Enterprise Systems & Solutions business unit, it serves DoD and federal civilian agencies; the 'AI Solutions Lead - Hands-on Delivery' role is a technical delivery position building AI capabilities on those government programs.",2,2,2,4,"Poor fit for this candidate. The employer is SMX-scale (~2,000 employees), so it is filtered out by the >500 rule. The single open role is an 'AI Solutions Lead - Hands-on Delivery' — explicitly hands-on/technical implementation on federal programs, not a PM/research/ops role, and likely requires clearance and on-site presence rather than the remote-or-Bay-Area preference.","Exceeds 500-employee filter (SMX ~2,000); 'hands-on delivery' role is coding/implementation-heavy, not product/research; govcon context typically needs security clearance and on-site federal-site work; candidate's D2C/customer-discovery and rubric-design strengths are not what this role rewards.",https://cbeyondata.com/resources/news/smx-announces-acquisition-of-cbeyondata/ ; https://www.globenewswire.com/news-release/2025/02/11/3024084/0/en/smx-announces-acquisition-of-cbeyondata.html ; https://www.govconwire.com/articles/smx-cbeyondata-public-sector-tech-offerings ; https://stockanalysis.com/stocks/smx/employees/ ; https://www.zoominfo.com/c/smx-llc/1148059975
