name,category,tier,inScope,inWindow,fundingType,status,geo,hq,founded,founders,totalRaised,rounds,differentiation,confidence,redFlags,url,sources
Dojo (by Chakra Labs),environments,1-pureplay,True,True,vc,active,USA,"Brooklyn, NY, USA",2025 (product launch; parent Chakra founded 2024),"Alexander Fung and Nirmal Krishnan (Dojo is a product of Chakra Labs, not a separate company)",N/A (rolls up to Chakra Labs $10.1M),No standalone financing — Dojo is funded via parent Chakra Labs' $10.1M raise (see Chakra Labs entry). Not an independent legal entity.,"A collaborative/open RL-environment suite giving computer-use agents deterministic, frame-accurate clones of production software plus crowd-sourced human trajectory datasets, with native support for Harbor/Verifiers/Verl frameworks.",high,NOT a separate company — 'Dojo' is Chakra Labs' RL-environment product for computer-use agents. Do not double-count its funding with Chakra. Included as a distinct row only because it appeared as a separate line item in the batch; funding/geo/founders inherit from Chakra Labs.,https://trydojo.ai/,https://trydojo.ai/ ; https://www.chakra.dev/publications/product-launch-dojo ; https://www.chakra.dev/ ; https://www.rl-list.com/
E2B,environments,adjacent-infra,True,True,vc,active,USA (Czech-founded),"San Francisco, CA, USA",2023,"Vasek Mlejnsky (Václav Mlejnský, CEO), Tomas Valenta (Tomáš Valenta)",~$32M (aggregator range $32M–$42M),"Series A: $21M led by Insight Partners (July 2025), with Decibel, Sunflower Capital, Kaya, and angels incl. former Docker CEO Scott Johnston. Prior seed (~$11.5M, 2024, Decibel/Sunflower). Total ~$32M (some aggregators cite ~$42M).","Provides secure, isolated cloud code-execution sandboxes as the runtime substrate for AI agents — increasingly adopted as the execution environment layer for agent RL and evaluation.",high,"E2B builds sandbox/runtime infrastructure, not packaged RL environments, tasks, or verifiers per se — it is the execution substrate others use to construct RL environments. Included as adjacent-infra; total-raised figure varies by source ($32M vs $42M).",https://e2b.dev,https://e2b.dev/blog/series-a ; https://siliconangle.com/2025/07/28/e2b-shares-vision-sandboxed-cloud-environments-every-ai-agent-raising-21m-funding/ ; https://www.crunchbase.com/organization/e2b-1c91 ; https://startupintros.com/orgs/e2b
Fleet,environments,1-pureplay,True,True,vc,active,USA,"San Francisco, USA (unconfirmed)",2024,"Nic (Nicolai) Ouporov (ex-founding engineer at Respell, acquired by Salesforce Jan 2024)",~$15M closed seed; +~$45-50M Series A reported/closing (~$725-750M post),"Series A REPORTED/CLOSING Apr 2026: ~$45-50M+ at ~$725-750M post-money valuation, led by Bain Capital Ventures (BCV), with Sequoia, Menlo Ventures and SV Angel as follow-on (reported by Reuters/Sacra; verify as closed). Seed $15M (2025) backed by Sequoia Capital, Menlo Ventures, SV Angel at a sub-$100M valuation. Revenue reportedly grew from ~$1M to ~$60M annualized by Apr 2026.",Builds RL training 'gyms' — high-fidelity simulated replicas of enterprise software like Salesforce and Excel — that frontier labs pay to train agents on computer-use and agentic workflows.,medium,"Clean in-scope RL-environment pureplay. Caveat: the Apr 2026 Series A (~$50M at ~$750M) was reported as in-negotiation/closing, not confirmed closed — treat valuation as rumored-to-recent until a close is announced. 'BCV' in the hint = Bain Capital Ventures, NOT Battery Ventures (disambiguated). HQ location not firmly confirmed (San Francisco inferred). Do not confuse with fleetworks (CB Insights) or other 'Fleet' named firms.",https://fleetai.com,https://sacra.com/c/fleet/ ; https://www.kucoin.com/news/flash/ai-training-firm-fleet-eyes-750m-valuation-amid-60x-revenue-surge ; https://www.rl-list.com/vendors/fleet-ai ; https://phemex.com/news/article/fleet-seeks-750-million-valuation-amidst-60x-revenue-surge-73158
General Intuition,environments,adjacent-infra,False,True,vc,active,United States,"New York, NY",2025,Pim de Witte (Co-Founder & CEO; co-founder/former CEO of Medal) plus Medal spin-off team; frontier-lab research hires from Google DeepMind and MIT,~$453.7M ($133.7M seed + $320M Series A),"Series A: $320M at ~$2.3B valuation, June 2026, led by Khosla Ventures with participation from Jeff Bezos and Eric Schmidt (plus DeepMind/MIT researchers). Seed: $133.7M, announced Oct 2025 (launched Oct/Nov 2025), led by Khosla Ventures and General Catalyst. Both rounds closed within window.",A frontier AI lab building large action foundation models and world models trained on billions of action-labeled first-person gameplay clips (sourced from sister-company Medal) to give agents spatial-temporal reasoning.,high,"OUT OF SCOPE: General Intuition is a frontier foundation-model lab building action/world models for embodied/spatial-temporal reasoning (gaming-to-robotics), i.e. it BUILDS models and world-model simulators as its own product — it does not sell RL environments, agentic tasks, or verifiers/reward-models to third parties for training. Falls under the embodied/physical-world simulation exclusion. category set to 'environments' only as nearest enum label; inScope=false.",https://generalintuition.com,https://techcrunch.com/2026/06/25/general-intuitions-2-3b-bet-that-video-games-can-train-ai-agents-for-the-real-world/ ; https://techcrunch.com/2025/10/16/general-intuition-lands-134m-seed-to-teach-agents-spatial-reasoning-using-video-game-clips ; https://theaiinsider.tech/2025/11/03/general-intuition-launches-with-133-7m-seed-round-to-build-ai-agents-with-spatial-temporal-reasoning/ ; https://siliconcanals.com/general-intuition-raises-114m-seed-round/
General Reasoning,mixed,1-pureplay,True,True,vc,active,UK / USA,"London, UK (with SF/US presence; incorporated as General Reasoning, Inc. in the US)",2024,"Ross Taylor (co-founder/CEO; former reasoning-team lead at Meta AI/FAIR on Llama 2/3; co-founded Papers with Code, acquired by Meta in 2019)",~$10.9M,"Seed: $10,904,992 in equity per SEC Form D filed ~July 11, 2025 (General Reasoning, Inc.). Specific lead investor/valuation not disclosed in the filing; press coverage describes multi-million-dollar seed capital with angel and VC participation.",Builds open reasoning-data and RL-environment infrastructure — reasoning datasets and verifiable-reward (RLVR) tooling/environments — for frontier foundation-model post-training rather than producing its own foundation models.,medium,"$10.9M figure is from an SEC Form D (equity 'raised' box) — reliable as an amount but round structure/lead/valuation not disclosed; no full press release located. DISAMBIGUATION: distinct from 'General Intuition' ($133.7M seed, spatial reasoning) and 'General Analysis' ($10M seed, agentic-AI security) — different companies despite similar names.",https://gr.inc,https://www.formds.com/issuers/general-reasoning-inc ; https://rossjtaylor.com/ ; https://nextomoro.com/general-reasoning/ ; https://x.com/rosstaylor90/status/1892983452003082605
Gensyn,environments,adjacent-infra,False,True,vc,active,UK/Europe,"London, UK",2020,"Ben Fielding, Harry Grieve",~$50M+ equity (aggregators report $50.6M-$80.6M incl. token); plus 2026 token sale,"Token Generation Event (AI token) concluded ~Apr 29, 2026, preceded by a Dec 2025 token offering on Sonar selling 300M tokens (3% of supply) at a $1B FDV cap; Series A $43M in June 2023 led by a16z crypto, with CoinFund, Canonical Crypto, Protocol Labs, Eden Block and angels; earlier seed (~2021-2022, reported ~$6.5M) with Eden Block/CoinFund. Reported total equity raised ~$50M+ (aggregators cite $50.6M-$80.6M depending on token inclusion).","A decentralized, blockchain-verified compute protocol (RL Swarm) that pools globally distributed GPUs/CPUs to run collaborative reinforcement-learning post-training of models.",high,"OUT OF SCOPE as an env/task/verifier vendor: Gensyn builds decentralized RL COMPUTE INFRASTRUCTURE (RL Swarm) for post-training, not RL environments, agentic task data, or verifiers/reward models — hence adjacent-infra. Also crypto/token-heavy (a16z CRYPTO lead, blockchain verification, 2026 TGE), which sits it partly outside pure equity-VC framing. Aggregator totals conflict; token vs equity raise blurs 'total raised.'",https://gensyn.ai,https://www.coindesk.com/business/2023/06/11/blockchain-based-ai-compute-protocol-gensyn-closes-43m-series-a-funding-round-led-by-a16z ; https://decrypt.co/144068/gensyn-ai-secures-43m-for-decentralized-machine-learning-led-by-a16z ; https://tracxn.com/d/companies/gensyn/__uDVNNeZCuxgVWe5dz_Kt6gt4f4L9kNCEJoLlPsfqclg ; https://icodrops.com/gensyn/
Gray Swan AI,verifiers,adjacent-infra,True,True,vc,active,USA,"Pittsburgh, PA, USA",2023,"Matt Fredrikson, Zico Kolter, Andy Zou (CMU)",~$45M+ (Series A $40M plus earlier seed),"Series A: $40M, closed ~May/June 2026, co-led by Wing Venture Capital and Madrona, with Obvious Ventures, Snowflake Ventures, Hudson River Trading, Samsung Next, and existing investor Magarac Venture Partners; reported ~$200M post-money valuation. Prior seed backing from Magarac Venture Partners (2023-24).","AI-security company whose Arena red-teaming community (15,000+ researchers) and Shade adversarial-testing engine generate the adversarial data and graders/verifiers frontier labs use to harden and evaluate models.",high,"Core positioning is AI security/guardrails (Cygnal real-time protection, Shade testing, Arena red-teaming), not a merchant RL-environment catalog; the verifier/grader angle is real but is one component of a security platform, hence adjacent-infra rather than pure-play. Valuation figure ($200M) from single Forbes source.",https://www.grayswan.ai,https://technical.ly/entrepreneurship/gray-swan-ai-security-40m-series-a/ ; https://www.finsmes.com/2026/06/gray-swan-raises-40m-in-series-a-funding.html ; https://www.forbes.com/sites/rashishrivastava/2026/05/28/this-ai-startups-army-of-15000-hackers-pressure-test-claude-gpt-5-and-gemini/ ; https://fintech.global/2026/06/01/gray-swan-raises-40m-to-secure-ai-at-the-frontier/
Habitat,environments,1-pureplay,True,True,undisclosed,active,United States,"New York, NY",2024,"Maxim Enis (Co-Founder/CEO, Williams College '24, ex-Ramp) and Andrew Megalaa (Co-Founder, Williams College '24); a third co-founder (reported as Max Kan) may be involved",Undisclosed,"A Crunchbase seed funding-round profile exists for this Habitat (org 'habitat-f869', round 'habit-571b-seed'), but no amount, date, or investors are publicly disclosed — funding is effectively dark. No confirmed closed amount found.","Builds RL environments for white-collar / agentic work automation — code and desktop (computer-use) interaction environments offering hundreds of diverse, programmatically verifiable problems just out of reach of current models.",low,"DISAMBIGUATION: This is habitat.inc (NYC, RL environments for code/desktop agents) — NOT 'Habitat AI' which raised $16M seed on 2025-07-17 for renewable-powered agentic AI infrastructure (different company), NOT Meta AI's 'Habitat' embodied-sim research platform, and NOT Habitat Logistics / Habitat Learn / Habitat Ventures. Funding is undisclosed: inWindow set true (low confidence) only because a Crunchbase seed-round profile exists; no amount/date verified. Founder count/third co-founder unconfirmed.",https://habitat.inc,https://www.crunchbase.com/organization/habitat-f869 ; https://www.crunchbase.com/funding_round/habit-571b-seed--fbb035af ; https://theorg.com/org/habitat-inc/org-chart/maxim-enis ; https://www.linkedin.com/in/maximenis/
Haize Labs,verifiers,1-pureplay,True,True,vc,active,USA,"New York City, NY, USA",2023,"Leonard Tang (CEO), Richard Liu, Steve Li — met as Harvard undergrads",~$12.5M,"Seed: $12.5M led by General Catalyst (with Pear VC, Soma Capital, and angels including Replit CEO Amjad Masad, Pika, Cognition's Scott Wu), reported at ~$100M post-money valuation ~7 months after launch (2024; some aggregators mis-date to Dec 2025). No later priced round confirmed.","Builds Verdict, a declarative framework for composing scalable LLM judges / automated verifiers and reward models, paired with large-scale automated red-teaming and stress-testing of GenAI systems.",high,"Exact seed close date ambiguous across aggregators (one snippet says Dec 2025, others point to mid-2024 given the '~7 months after launch, $100M valuation' framing); $100M valuation is a reported figure. Core is evals/red-teaming; Verdict (LLM-judge/reward-model framework) is the verifier product that keeps it clearly in scope.",https://haizelabs.com,https://pitchbook.com/news/articles/general-catalyst-haize-labs-100-million-valuation ; https://app.dealroom.co/news/feed/haize-labs-valued-at-100m-after-7-months ; https://tracxn.com/d/companies/haize-labs/__gFmK8PWsTtjmE7wGId_rhm8WUpgxTXW_8c-JLhaNXJc ; https://www.crunchbase.com/organization/haize-labs
Halluminate,mixed,1-pureplay,True,True,vc,active,USA,"San Francisco, CA",2024,"Jerry Wu (co-founder/CEO, ex-Capital One Labs where he led product/research and shipped an early banking AI agent); Wyatt Marshall (co-founder)","Undisclosed (aggregators report ~$160K–$500K, unconfirmed)","Y Combinator S25 (Summer 2025 batch; standard YC investment). Seed round backed by Orange Collective, Antigravity Capital, Batch Ventures, Team Ignite Ventures, and Transpose Platform Management; reported total funding conflicts across aggregators (~$160K per PitchBook to ~$500K elsewhere) — no official round amount confirmed.","Builds computer/browser-use RL gyms — a fully-simulated internet ('Westworld') of synthetic consumer/enterprise apps — with verifiable rewards, narrowed toward financial-services agent training.",medium,"Seed amount unconfirmed and conflicting across aggregators ($160K vs $500K); no official raise announcement beyond YC S25. Product spans data + environments + evals/benchmarks (verifiers), so category is mixed. 2026 site repositioned to 'RL environments for financial services' from broader computer-use framing.",https://halluminate.ai,https://www.ycombinator.com/companies/halluminate ; https://news.ycombinator.com/item?id=44865290 ; https://www.rl-list.com/vendors/halluminate ; https://www.orangecollective.vc/portfolio/halluminate
Hamming AI,verifiers,adjacent-infra,False,True,vc,active,USA,"San Francisco, CA, USA",2024,"Sumanyu Sharma (CEO), Marius Buleandra (CTO)",~$3.8M,"Seed $3.8M led by Mischief (announced Dec 18, 2024), with Y Combinator, AI Grant, Pioneer, Coalition Operators, Coughdrop and angels (Hiten Shah, Ran Makavy, Max Kolysh, Richard Aberman, Kulveer Taggar).","Deploys thousands of AI 'simulated caller' agents to place concurrent test calls against a customer's voice agent, claiming 20x faster and 10x cheaper testing than manual QA plus monitoring and governance.",high,"Same scope reasoning as Cekura: automated testing/simulation/monitoring/governance for deployed AI voice agents (eval + reliability), not RL environments/tasks/verifiers for model training. Marked inScope=false / adjacent-infra; medium confidence on the scope boundary since its simulation harness overlaps conceptually with agent environments.",https://hamming.ai,https://www.businesswire.com/news/home/20241218104943/en/Hamming.ai-Announces-$3.8-Million-Seed-Led-by-Mischief ; https://hamming.ai/blog/hamming-ai-seed-funding-to-make-voice-agents-more-reliable ; https://pulse2.com/hamming-ai-ai-based-voice-agent-reliability-company-raises-3-8-million-seed/
Harmonic AI,verifiers,1-pureplay,True,True,vc,active,US,"Palo Alto, California, USA",2023,"Tudor Achim (CEO), Vlad Tenev (Robinhood co-founder/CEO)",~$295M+,"Series C: $120M at $1.45B valuation, Nov 2025 (led by Paradigm & Kleiner Perkins per announcement). Series B: $100M at ~$875M-$900M post-money valuation, Jul 2025 (led by Kleiner Perkins, with Paradigm, Ribbit Capital; existing backers Sequoia, Index Ventures, DST Global, Charlie Cheever/Charlie Cheever). Series A: $75M, Sep 2024 (Sequoia-led). ~$295M raised total across three rounds in ~14 months.","Builds 'Mathematical Superintelligence' via its Aristotle model that translates natural-language math into Lean 4 and formally verifies every proof step, an RLVR-style verifiable-reward approach.",high,"Core product is a math-reasoning chatbot/API rather than a sold-to-labs environment/verifier toolkit; classified inScope as a verifier because its Lean-4 formal-verification / verifiable-reward engine is the differentiator, but it is more an end-product than an infra-for-training vendor. Series C lead investors reported with medium confidence.",https://harmonic.fun,https://www.businesswire.com/news/home/20250710118878/en/Harmonic-Raises-$100-Million-Series-B-to-Accelerate-Development-of-Mathematical-Superintelligence ; https://siliconangle.com/2025/11/25/harmonic-ai-raises-120m-1-45b-valuation-advance-mathematical-reasoning/ ; https://sacra.com/c/harmonic/ ; https://www.caproasia.com/2025/07/13/united-states-ai-math-startup-harmonic-ai-raised-100-million-in-series-b-funding-at-875-million-valuation-investors-include-sequoia-kleiner-perkins-index-ventures-paradigm-ribbit-capital-era/
HUD,mixed,1-pureplay,True,True,vc,active,USA,"San Francisco, CA, USA",2024,"Jay Ram (CEO), Lorenss Martinsons (CPO)",Undisclosed (YC W25 + a seed round; amount not public),"Seed (undisclosed amount, ~2025) led/backed by Exceptional Capital; also a Y Combinator W25 accelerator investment. No public round size disclosed. Some snippets mention a16z association but this is unconfirmed; confirmed investors are YC and Exceptional Capital.","Open-source SDK + hosted gateway to wrap real software as isolated, agent-callable RL environments and evals specifically for computer-use and browser agents, serving frontier labs.",high,"Site migrated hud.so -> hud.ai. IMPORTANT disambiguation: a separate startup also named 'Hud' raised $21M for an AI-coding 'sensor' (per Calcalist/CTech) - that is NOT this company. Exact seed amount for the RL-env HUD is not public; a16z linkage is rumored/unconfirmed. Named users cited (OpenAI, Anthropic, DoorDash, UiPath) are marketing claims.",https://www.hud.so,https://www.ycombinator.com/companies/hud ; https://www.exceptionalcap.com/portfolio/hud ; https://www.rl-list.com/vendors/hud ; https://www.crunchbase.com/organization/hud
Huzzle Labs,mixed,2-incumbent-line,True,True,vc,active,UK / Europe,"London, United Kingdom",2020 (parent Huzzle; Labs is the AI division),"Ingmar Klein, Parham Rakhshanfar, Amit Choudhary",~$6M (reported),"~$6M raised (aggregator-reported total). Backers include 10x Founders, Angel Invest, Emerge, and the former CTO of Hugging Face (angel). Specific round stages, dates, and lead investor not confirmed in primary sources; figure is an aggregator snapshot.","Human-intelligence 'data foundry' bundling long-horizon RL environments, expert trajectory data, and contextual evals for code/tool-use/computer-use/enterprise workflows, built on a network of 300,000+ domain experts.",medium,Huzzle began (~2020) as a London talent/recruiting platform; Huzzle Labs is a newer AI division pivoting the expert network into RL data — hence tier 2-incumbent-line. The $6M total mixes early talent-platform funding with AI-division raises; per-round breakdown and dates unverified (aggregator snippets only).,https://labs.huzzle.com,https://labs.huzzle.com/ ; https://labs.huzzle.com/rl-environments ; https://www.startuphub.ai/startups/labs-huzzle-com ; https://www.rl-list.com/vendors/huzzle-labs
Idler,environments,1-pureplay,True,True,accelerator-only,active,USA,"San Francisco, CA, USA",2025,"Ivan Chub (ex-cofounder Dark Forest / 0xPARC / Zupass; ex-Facebook, AppSheet), Nalu Concepcion (ex-Microsoft Azure), Tony Goss",Undisclosed (YC S25 standard deal + AI2 Incubator pre-seed),"Pre-seed / accelerator: Y Combinator S25 batch backing plus pre-seed investment from AI2 Incubator (Allen Institute for AI). Amount undisclosed. Also reported to have closed a multi-million-dollar bespoke env/data contract with a leading foundation lab (revenue, not a funding round). No priced venture round confirmed.","Builds reinforcement-learning training environments from real-world, expert-level coding problems so foundation labs can train and evaluate code-generation models on realistic production engineering tasks.",medium,"Team is very small and sells bespoke env/data work directly to labs (services-flavored). AI2 Incubator pre-seed reported via hint and profiles but exact amount/date not confirmed in a primary filing; the 'multi-million' figure is a customer contract, not a raise. Not to be confused with other 'Idler' apps/games.",https://www.idler.dev,https://www.ycombinator.com/companies/idler ; https://www.workatastartup.com/companies/idler ; https://www.startuphub.ai/startups/idler/ ; https://www.crunchbase.com/organization/idler
iMerit,tasks,2-incumbent-line,True,False,vc,active,USA / India,"San Jose, California, USA",2012,Radha Basu (Founder & CEO),~$24.3M-$32.8M (aggregator estimates),"Last round ~Nov 2021 (~$13M reported). Series B $20M in 2019 led by British International Investment (CDC Group), with Omidyar Network. Series A $3.5M in 2015 (Khosla Impact, Michael & Susan Dell Foundation, Omidyar). Aggregators report total $24.3M-$32.8M. NOTE: Scholars (RL/post-training line) launched July 2025 with no disclosed new funding round attached.",A long-standing data-annotation incumbent whose Scholars program supplies a handpicked global network of advanced-degree cognitive experts (via the Ango Hub / Deep Reasoning Lab tooling) to produce expert-vetted reasoning data and human judgment for RL/agentic post-training.,medium,"inWindow=FALSE risk: last identifiable funding round was ~Nov 2021 (before the Jan 2022 window); Series B was 2019. The RL-relevant Scholars line (2025) is a product launch, NOT a funding event — no venture/accelerator round closed within Jan 2022-Jul 2026 that I could verify. Funding totals conflict across aggregators ($24.3M vs $32.8M). In-scope only via its newer expert-data-for-RL line; core business is broad data annotation (impact-investor backed).",https://imerit.net,https://imerit.net/press/imerit-unveils-scholars/ ; https://imerit.net/resources/blog/how-expert-vetted-reasoning-datasets-are-important-for-improving-reinforcement-learning-model-performance/ ; https://tracxn.com/d/companies/imerit/__BvDxM1tovHVQo1U0TaTOL7umTFqDKga0-ru8OlvzKbw ; https://www.bii.co.uk/en/our-impact/investment/imerit-inc-investment-01/
Innodata,environments,2-incumbent-line,True,False,public,active,USA,"Ridgefield Park, New Jersey, USA",1988,Jack Abuhoff (current CEO/Chairman); company founded 1988,N/A (public company),Publicly traded (NASDAQ: INOD); no venture/accelerator round in the Jan 2022–Jul 2026 window. Growth funded via public markets; reported record Q1 2026 and raised 2026 revenue guidance.,"Data-engineering incumbent offering custom RL gyms/environments as a managed service with deterministic evaluation, step-level reward signals, and a global expert network for ground-truth and reward design.",high,"Public incumbent, not a VC-funded startup — inWindow=false (no qualifying venture/accelerator round). RL environments are one service line within a broader RLHF/data-annotation business; classified 2-incumbent-line.",https://innodata.com/rl-environments/,https://innodata.com/rl-environments/ ; https://simplywall.st/stocks/us/commercial-services/nasdaq-inod/innodata ; https://www.theinformation.com/newsletters/ai-agenda/reinforcement-learning-gym-startup-buoyed-labs-appetite-training-data-reaches-750-million-valuation
Invisible Technologies,environments,2-incumbent-line,True,True,vc,active,US,"New York, US (distributed/remote-first)",2015,Francis Pedraza (CEO/founder),~$144M,"$100M growth round, Sep 16 2025, led by Vanara Capital (TPG alumni) at >$2B valuation; participants Princeville, HOF, Freestyle, Rocketeer, Tallwoods + existing Acrew, Greycroft, Backed VC, BY Ventures, Deepwater. Prior ~$23–44M across earlier rounds; total ~$144M.","Builds production-grade RL environments from real enterprise workflows with domain-expert-designed reward functions and fully logged, inspectable, replayable/verifiable rollouts.",high,"Task hint 'bootstrapped/profitable' is only partly right: historically ran lean and famously bought back VC shares, but raised $100M in Sep 2025 (so fundingType=vc, inWindow=true). Primarily an AI-training-data/enterprise-services incumbent (~$134M 2024 revenue) that added an RL-environments line — hence 2-incumbent-line, not pureplay. RL environments are genuine and in scope.",https://invisibletech.ai,https://www.businesswire.com/news/home/20250916425748/en/Invisible-Technologies-Raises-$100-Million-to-Power-the-Next-Generation-of-AI-Infrastructure-for-the-Enterprise ; https://www.techcompanynews.com/invisible-technologies-raises-100m-in-funding-led-by-vanara-capital/ ; https://invisibletech.ai/solutions/rl-environments ; https://invisibletech.ai/blog/why-frontier-labs-outsource-rl-environments-the-domain-coverage-problem
Judgment Labs,verifiers,1-pureplay,True,True,vc,active,USA,"San Francisco, CA, USA",2025,"Alex Shan (CEO), Andrew Li (Chief Scientist), Joseph Camyre (CTO)",$32M,"$32M total across a Seed and a Series A, both led by Lightspeed Venture Partners less than six months apart, announced ~May 2026; other participants: Nova Global, SV Angel, Valor Equity Partners, Dynamic. Individual round amounts/valuation not separately disclosed.","Builds a 'continuous improvement layer' / evaluation-and-verifier infrastructure for deep AI agents that scores long reasoning traces, tool use and memory, turning production data into continuously-improved agents (open-source judgeval).",high,"Founded-year sources conflict (2024 vs 2025); seed vs Series A split amounts and valuation not broken out. Positioned as an eval/monitoring/verifier layer for agents rather than an RL-training-data or environments vendor — in scope as a verifier/reward-model product, but note it markets primarily as agent evaluation/observability.",https://www.judgmentlabs.ai,https://www.businesswire.com/news/home/20260512621556/en/Judgment-Labs-Closes-$32M-in-Seed-and-Series-A-Funding-to-Build-the-Continuous-Improvement-Layer-for-AI-Agents ; https://www.finsmes.com/2026/05/judgment-labs-closes-32m-in-seed-and-series-a-funding.html ; https://www.crunchbase.com/person/alex-shan ; https://tracxn.com/d/companies/judgment/__RLUkvlcoob_aj7bsVUWMfKuym3sTlTZlgEBfnOcorwM
Kaizen (Kaizen Automation),environments,adjacent-infra,True,True,vc,active,USA,"San Francisco, CA, USA",2025,Kenneth (Ken) Acquah (co-founder/CEO) and Michael Silver (co-founder),~$4M+,"Seed: 'over $4M' (reported ~Oct 2025) from Y Combinator, 8VC (Joe Lonsdale), Innovation Endeavors (Eric Schmidt), plus angels Jeff Dean, Matteo Franceschetti, Calvin French-Owen, Aabhas Sharma, and others. YC Spring 2025 (S25/P25) batch. Some aggregators (Tracxn) show an earlier/partial '$500K seed, June 2025' snapshot; the $4M+ figure with 8VC/Innovation Endeavors is the fuller round.","Builds RL environments that simulate real operational 'work' — legacy web-portal/back-office tasks across healthcare, logistics, and financial services — to train browser agents aimed at the ~$300B business-process-outsourcing (BPO) market.",medium,"Scope is borderline: Kaizen's outward-facing pitch ('Automate anything on the web') reads as a browser-automation/BPO agent product, while it is categorized under YC's Reinforcement Learning industry and positions internally as building RL environments that 'simulate real work' to train its agents. Included as in-scope on the RL-environment framing, but the env/verifier layer may be internal training infra rather than a sold product. DISAMBIGUATION: distinct from 'Kaizen Labs' (e-gov software, $21M Series A Nov 2025), Kizen, Kaizen Platform (Japan), and other same-named firms. Exact round date/lead not confirmed via a primary press release.",https://kaizenautomation.com,https://www.ycombinator.com/companies/kaizen ; https://startupintros.com/orgs/kaizen ; https://www.crunchbase.com/person/kenneth-acquah-ac31 ; https://tracxn.com/d/companies/kaizenautomation/__gKvUhLcDJLPiBbdK607k7GXvPbCUxqWYb6O3oYn84rI
Lucid,environments,adjacent-infra,False,True,vc,active,United States,"San Francisco, CA",2024,"Alberto Hojel (CEO), Rami Seid (CTO)","~$7M (unverified, aggregator snippet)","YC Winter 2025 (W25) batch; reportedly ~$7M raised from YC and other investors (aggregator-reported, round stage/lead not clearly disclosed — treat as seed).","Builds fast, action-conditioned generative world models that learn to simulate reality from pixels (a fully differentiable 'RL gym'), e.g. an interactive Minecraft world model at 20+fps on a consumer GPU, aimed at training robots 'in their imagination' and building unbounded games.",medium,"Scope=false: Lucid's learned world-model 'RL gym' targets robotics (embodied training) and gaming, i.e. physical-world/embodied and game simulation, not LLM/agent RL environments, task-data, or verifiers — excluded per the robotics/embodied-sim carve-out. Classified adjacent-infra. ~$7M raise is aggregator-reported and unconfirmed (no dated priced round found); disambiguated from Lucid Motors, Lucid Software/Lucidchart, and Lucidworks.",https://www.ycombinator.com/companies/lucid,https://www.ycombinator.com/companies/lucid ; https://www.ycombinator.com/launches/Mpr-lucid-generative-simulations-powered-by-fast-world-models ; https://news.ycombinator.com/item?id=43169185 ; https://ramis.ai/
Lucidic AI,mixed,1-pureplay,True,True,vc,active,United States,"San Francisco, CA",2025,"Abhinav Sinha (CEO; ex-Stanford AI Lab, Citadel, Apple), Andy Liang (CTO; Stanford competitive-programming team), Jeremy Tian (ex-Stanford AI, quant at DRW)",~$500K,YC Winter 2025 (W25) batch; $500K pre-seed across 1 round from Y Combinator and ODDBIRD VC (per Tracxn/VCBacked). Launched on HN Aug 2025.,"A training/eval platform that ingests real agent logs and uses controlled simulations plus RL, genetic algorithms and Bayesian optimization — scored against weighted custom 'rubric' verifiers — to auto-discover failure modes and optimize agents before production.",medium,"Originally positioned as agent observability ('see your AI agent's mind at work'), now marketed as a training platform via simulations + rubric-based evals — the env/verifier framing is recent, so Tier 1-pureplay is a forward-looking call (could be read as adjacent-infra eval tooling). Funding data comes largely from aggregators (Tracxn/PitchBook/VCBacked); $500K pre-seed with YC + ODDBIRD supports fundingType=vc but is early/small.",https://www.ycombinator.com/companies/lucidic-ai,https://www.ycombinator.com/companies/lucidic-ai ; https://lucidic.ai/ ; https://news.ycombinator.com/item?id=44735843 ; https://tracxn.com/d/companies/lucidic-ai/__I1k0FOlstHguHPk4RTa0YoHDqnNfv81v8I8GLUYfFvU
Maingen,environments,1-pureplay,True,True,accelerator-only,active,USA,"San Francisco, CA, USA",2025,"Phillip Yan (CEO), David J. Yang",Undisclosed (YC S26 accelerator only),"Y Combinator S26 accelerator batch, 2026. No priced venture round found; only the YC accelerator investment.",Builds RL environments for industrial operations (framed as a ~$5T slice of the US economy) so frontier labs can train models that run factories.,low,"Conflicting positioning: YC one-liner describes 'RL environments for industrial operations so frontier labs can train models that run factories' (in scope), but other snippets describe Maingen as 'an AI OS for solar O&M' — a vertical AI operations product, which would be out of scope. Possible pivot or dual framing; unresolved. YC batch is S26 (task said generic '2026 batch'). Low confidence on both scope and current product.",https://www.maingen.ai,https://www.ycombinator.com/companies/industry/industrials/san-francisco-bay-area ; https://www.linkedin.com/in/phillip-yan-energy/ ; https://www.linkedin.com/in/david-yang-ai/ ; https://www.rl-list.com/
